trait,mut_rate,SD,max_val,min_val,rho,all0
w0,0.000,0.02,10.0,-1.0,0.5,4.26
alph_w,0.000,0.02,0.5,0.0,0.5,0.474
lambda,0.000,0.02,0.5,0.0,0.5,0.00
thr1,0.000,0.02,0.5,0.0,0.5,0.447
thr2,0.000,0.02,2.0,0.0,0.5,0.00
t_thr,0.000,0.20,500.0,0.0,0.5,500.0
beta,0.000,0.02,10.0,0.0,0.5,6.96
